dataset,F1_branches,F1_milestones,HIM,Correlation,featureimp_wcor
bifurcating_four_clusters_1,0.9467787114845939,0.9610054347826087,1,0.9961191271772605,0.9383257487516188
linear_three_clusters_1,1,0.9800395256916996,1,0.9505903694519623,0.8157958891773489
multifurcating_four_clusters_1,0.7703703703703704,0.9139141414141414,1,0.9878326166554084,0.92773192016746
tree_five_clusters_1,0.7601626016260161,0.9610194902548725,1,0.9959923989276213,0.9265570488448273
GSE74767,1,1,1,0.9999991625844613,0.9861230688467048
