dataset,F1_branches,F1_milestones,HIM,Correlation,featureimp_wcor
bifurcating_four_clusters_1,0.9467787114845939,0.9610054347826087,1,0.9960030383494126,0.9419445751714358
linear_three_clusters_1,1,0.9800395256916996,1,0.9505109506757814,0.8120845607179191
multifurcating_four_clusters_1,0.7703703703703704,0.9139141414141414,1,0.9880024857467777,0.9291128269409237
tree_five_clusters_1,0.7601626016260161,0.9610194902548725,1,0.995959339344874,0.9227610769189106
GSE74767,1,1,1,0.9999993808321176,0.9862795339247565
