dataset,F1_branches,F1_milestones,HIM,Correlation,featureimp_wcor
bifurcating_four_clusters_1,0.9467787114845939,0.9610054347826087,0.9214325798681614,0.9959857908652263,0.9386787971078923
linear_three_clusters_1,1,0.9801024428684003,1,0.9520148297159392,0.9048565338334806
multifurcating_four_clusters_1,0.976160068114091,0.9634848484848485,1,0.9986161310244522,0.9454832044653079
tree_five_clusters_1,0.8110003691399041,0.9494252873563217,1,0.9972038863960531,0.9272183823004057
GSE74767,1,1,1,0.9999992767213931,0.984280395763866
