dataset,F1_branches,F1_milestones,HIM,Correlation,featureimp_wcor
bifurcating_four_clusters_1,0.9467787114845939,0.9610054347826087,1,0.9963339529479365,0.9252768133284472
linear_three_clusters_1,1,1,1,0.951627293242298,0.9024890374653355
multifurcating_four_clusters_1,0.9804079441760603,1,1,0.9983972919024616,0.9562366084048948
tree_five_clusters_1,0.9065656565656566,0.9494252873563217,1,0.9967180561159789,0.8746841275038282
GSE74767,1,1,1,0.9999992987572817,0.9872276451718174
